,GOOGL,AAPL,MSFT,AMZN
GOOGL,0.09412810756060404,0.04826902392938951,0.04891891562985831,0.06670743914876634
AAPL,0.04826902392938951,0.07534399920303224,0.04308319587385989,0.05280688736565141
MSFT,0.04891891562985831,0.04308319587385989,0.068310474157171,0.05846001056924015
AMZN,0.06670743914876634,0.05280688736565141,0.05846001056924015,0.12402158932305059
